id	class	TEAM-AST	TEAM_NAME	PLAYER-AST	PLAYER-DREB	PLAYER-FG3A	PLAYER-FG3M	PLAYER-FGM	PLAYER-OREB	PLAYER-PF	PLAYER-PTS	PLAYER-REB	PLAYER-STL	PLAYER-TO	PLAYER_NAME	TEAM-TOV	PLAYER-FG3_PCT	TEAM-FG_PCT	TEAM-LOSSES	TEAM-PTS	TEAM-PTS_QTR2	TEAM-WINS	PLAYER-MIN	PLAYER-FGA	PLAYER-BLK	PLAYER-FTA	PLAYER-FTM	TEAM-PTS_QTR1
TEAM-AST TEAM-AST TEAM_NAME TEAM_NAME		2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLAYER-AST PLAYER-AST PLAYER-DREB PLAYER-FG3A PLAYER-FG3M PLAYER-FGM PLAYER-OREB PLAYER-PF PLAYER-PTS PLAYER-PTS PLAYER-REB PLAYER-REB PLAYER-STL PLAYER-TO PLAYER_NAME PLAYER_NAME TEAM-TOV TEAM_NAME		0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLAYER-AST PLAYER-PTS PLAYER_NAME		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLAYER-FG3A PLAYER-PF PLAYER-PTS PLAYER-REB PLAYER_NAME		0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLAYER-FG3_PCT PLAYER-PTS PLAYER_NAME		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLAYER-PTS PLAYER_NAME		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEAM-FG_PCT TEAM-LOSSES TEAM-LOSSES TEAM-PTS TEAM-PTS TEAM-PTS_QTR2 TEAM-WINS TEAM-WINS TEAM_NAME TEAM_NAME		0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
PLAYER-MIN PLAYER-PTS PLAYER_NAME		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PLAYER-FG3M PLAYER-FGA PLAYER-PF PLAYER-PTS PLAYER_NAME PLAYER_NAME		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PLAYER-AST PLAYER-BLK PLAYER-DREB PLAYER-FTA PLAYER-MIN PLAYER-PTS PLAYER-REB PLAYER-STL PLAYER-TO PLAYER_NAME		0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
PLAYER-MIN PLAYER-PTS PLAYER_NAME PLAYER_NAME		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PLAYER-AST PLAYER-BLK PLAYER-FG3M PLAYER-FGA PLAYER-FGM PLAYER-MIN PLAYER-OREB PLAYER-PF PLAYER-PF PLAYER-PTS PLAYER-PTS PLAYER-REB PLAYER-STL PLAYER-STL PLAYER_NAME PLAYER_NAME		0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
TEAM-PTS TEAM-PTS TEAM-PTS TEAM_NAME TEAM_NAME TEAM_NAME		0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLAYER-AST PLAYER-BLK PLAYER_NAME		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
TEAM-LOSSES TEAM-WINS TEAM_NAME		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PLAYER-MIN PLAYER-PTS PLAYER-TO PLAYER_NAME		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PLAYER-FGA PLAYER-FGM PLAYER-FTA PLAYER-FTM PLAYER-REB PLAYER_NAME		0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0
PLAYER-FGA PLAYER-FGM PLAYER-PTS PLAYER_NAME		0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
TEAM-LOSSES TEAM-PTS_QTR1 TEAM-WINS TEAM_NAME		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
PLAYER-AST PLAYER-FG3_PCT PLAYER-PTS PLAYER-REB PLAYER_NAME		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEAM-LOSSES TEAM-LOSSES TEAM-PTS TEAM-PTS TEAM-WINS TEAM-WINS TEAM_NAME TEAM_NAME		0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
